600961.SH,株冶集团,预减;钴;央企,材料,34.0738,-0.3213,0.5822,0.207,-26.5124,14.6315
000911.SZ,南宁糖业,地方国企;超涨;北部湾自贸区,日常消费,22.9449,-1.9711,-1.9836,0.1926,-2.9102,-2.8918
300032.SZ,金龙机电,员工持股;股权转让;苹果;小米产业链;富士康概念;超跌;3D玻璃;触摸屏,信息技术,30.5204,-0.2197,-4.3039,0.9264,-34.7296,-1.7728
002157.SZ,正邦科技,生物育种;反关税;股权激励;券商重仓;猪产业,日常消费,96.9623,0.4815,5.5651,10.3828,50.3439,4.3558
601798.SH,*ST蓝科,页岩气和煤层气;ST概念;央企;*ST;最小市值,能源,16.9819,-0.1931,-0.9095,-1.381,-21.9859,-4.6679
002659.SZ,凯文教育,K-12教育;职业教育;地方国企,可选消费,67.2567,-0.3005,0.1959,-0.9981,-55.954,85.8304
002184.SZ,海得控制,股权激励;工业互联网;机器视觉;智能电网;机器人;工业4.0;人工智能;军民融合,工业,24.5026,-0.2304,0.3395,0.2754,-26.587,18.0432
600860.SH,京城股份,燃料电池;地方国企;摘帽;含H股的A股;LNG,工业,18.0923,-0.2553,0.2315,-1.8066,-17.7167,19.5381
300588.SZ,熙菱信息,高送转;网络安全;超跌;安防监控,信息技术,17.312,-0.0687,0.8086,0.4302,-62.9985,5.3525
000929.SZ,兰州黄河,啤酒;借壳上市;最小市值,日常消费,12.5949,-0.0182,0.1264,-0.2562,-173.0069,24.9108
600301.SH,ST南化,ST概念;最小市值;地方国企;重组,材料,12.2277,-0.0423,-0.682,-0.1956,-72.2677,-4.4823
300236.SZ,上海新阳,集成电路;国产化创新;芯片国产化,材料,53.4988,0.1576,0.7172,0.5333,84.8648,18.6485
600815.SH,厦工股份,摘帽;地方国企;挖掘机,工业,37.4957,0.4791,2.196,-26.7077,19.5657,4.2686
600733.SH,SST前锋,正在进行股改板块;ST;地方国企;借壳上市;成渝特区;未股改;ST概念,可选消费,104.1081,-0.0304,0.0487,-0.4332,-856.1521,534.4358
603758.SH,秦安股份,外资并购;合资企业,可选消费,33.4363,0.0231,1.8806,2.1754,361.8647,4.4449
002869.SZ,金溢科技,无感支付;智慧停车;区块链;智能交通,信息技术,24.1254,0.0539,0.8779,1.1997,111.8989,6.8702
000779.SZ,三毛派神,地方国企,可选消费,25.1136,0.0055,0.7925,0.1314,1141.5273,7.9223
600698.SH,湖南天雁,含B股的A股;十大军工集团;央企,可选消费,44.9908,-0.0229,-0.8404,0.1,-491.1659,-13.3837
600288.SH,大恒科技,机器视觉;融资融券标的;期货概念;太赫兹;扭亏;虚拟现实;食品安全;融资融券,信息技术,33.2405,-0.0384,0.6176,0.5459,-216.4095,13.4555
300508.SZ,维宏股份,高送转预期;高送转;小盘绩优;工业4.0;3D玻璃,工业,23.0916,0.0785,0.807,0.4436,73.5401,7.1535
600193.SH,*ST创兴,合资企业;浦东新区;最小市值;外资并购;*ST;稀土永磁;ST概念,工业,11.2298,-0.0346,-0.7822,-1.2791,-81.1402,-3.5892
300105.SZ,龙源技术,PM2.5;煤电重组;国资改革;央企;火电;国企混改,工业,22.7355,-0.0854,0.1371,-1.7384,-66.5559,41.4579
000613.SZ,大东海A,三沙;土地流转;举牌;含B股的A股;摘帽;海南自贸港,可选消费,25.6689,0.0197,0.0286,-0.0266,325.7475,224.3785
